x,y
0,0
0,53
2,53
3,54
5,54
11,60
13,60
14,61
17,61
18,62
20,62
21,63
23,63
24,64
25,64
26,65
27,65
29,67
30,67
31,68
32,68
33,69
35,69
36,68
47,68
48,69
48,70
47,71
46,71
45,72
43,72
42,73
40,73
39,74
38,74
38,79
41,79
42,80
45,80
46,81
53,81
54,82
59,82
60,83
63,83
64,84
70,84
72,86
73,86
75,88
80,88
81,89
82,89
83,90
85,90
86,91
89,91
90,92
100,92
101,91
106,91
107,90
109,90
110,89
113,89
114,90
125,90
126,89
133,89
134,88
143,88
144,87
145,87
148,84
150,84
151,83
153,83
154,82
156,82
157,81
159,81
160,80
163,80
164,79
175,79
176,80
193,80
194,79
199,79
200,78
206,78
207,77
215,77
216,76
222,76
223,75
238,75
239,74
242,74
243,73
245,73
246,72
248,72
249,71
252,71
253,70
260,70
261,69
263,69
267,65
267,64
263,60
265,58
267,58
268,57
269,57
270,56
272,56
273,55
274,55
275,54
278,54
279,53
284,53
285,52
288,52
289,51
289,50
290,49
290,48
293,45
295,45
297,43
299,43
300,42
301,42
302,41
305,41
306,40
307,41
319,41
320,40
323,40
324,39
325,40
326,40
327,41
328,41
329,42
331,42
332,41
338,41
339,40
341,40
342,39
344,39
345,40
348,40
349,39
351,39
352,38
361,38
363,36
364,36
366,34
368,34
369,33
373,33
374,32
375,32
376,31
377,31
378,30
395,30
396,31
398,31
399,32
402,32
403,31
406,31
407,30
410,30
411,29
429,29
430,28
432,28
433,27
436,27
437,26
454,26
455,27
457,27
458,26
470,26
471,27
483,27
484,28
487,28
488,29
490,29
491,30
494,30
495,31
518,31
519,32
524,32
525,33
527,33
528,34
530,34
531,35
534,35
535,36
536,36
537,37
538,37
539,38
543,38
544,39
559,39
560,38
580,38
581,39
589,39
590,40
602,40
603,39
604,39
605,38
612,38
613,37
616,37
617,36
620,36
621,35
630,35
631,34
662,34
663,35
671,35
672,36
675,36
676,37
677,37
678,38
680,38
681,39
684,39
685,40
686,40
687,41
683,45
685,47
686,47
687,48
694,48
695,49
698,49
699,50
700,50
701,51
703,51
704,52
707,52
708,53
711,53
712,54
716,54
717,55
739,55
740,56
745,56
746,57
749,57
750,58
753,58
754,59
756,59
757,60
760,60
761,61
762,61
763,62
768,62
769,63
775,63
776,64
784,64
785,65
803,65
804,64
817,64
818,65
832,65
833,64
839,64
840,63
849,63
850,62
853,62
854,61
857,61
858,60
860,60
861,59
865,59
866,58
879,58
880,59
882,59
883,60
885,60
886,61
894,61
895,62
904,62
905,61
915,61
916,62
920,62
921,63
924,63
925,64
926,64
927,65
929,65
930,66
931,66
932,67
933,67
934,68
935,68
936,69
937,69
940,72
941,72
945,76
945,77
948,80
948,81
949,82
949,83
953,87
955,87
956,88
957,88
960,91
961,91
968,98
968,99
967,100
967,103
964,106
964,107
963,108
963,113
964,113
965,114
966,114
967,115
968,115
969,116
970,116
972,118
972,119
973,120
973,121
975,123
978,123
979,124
980,124
981,125
982,125
983,126
984,126
988,130
988,131
990,133
990,136
992,138
993,138
994,139
995,139
996,140
997,140
998,141
1002,141
1003,142
1007,142
1008,143
1013,143
1014,144
1015,144
1016,143
1023,143
1024,144
1027,144
1028,145
1031,145
1032,146
1036,146
1037,147
1038,147
1039,148
1041,148
1042,149
1043,149
1045,151
1046,151
1047,152
1051,152
1052,153
1056,153
1057,154
1059,154
1060,155
1062,155
1063,156
1063,157
1064,158
1064,159
1065,160
1065,161
1066,162
1066,163
1067,164
1067,165
1068,166
1069,166
1076,173
1077,173
1086,182
1087,182
1090,185
1091,185
1092,186
1093,186
1095,188
1096,188
1097,189
1098,189
1099,190
1099,191
1102,194
1107,194
1108,195
1110,195
1111,196
1112,196
1113,197
1114,197
1115,198
1116,198
1117,199
1117,200
1118,201
1118,203
1119,204
1118,205
1118,206
1116,208
1116,209
1115,210
1115,214
1116,215
1116,216
1124,224
1124,225
1125,226
1125,227
1126,228
1126,230
1125,231
1125,232
1124,233
1126,233
1127,234
1131,234
1132,235
1134,235
1135,236
1136,236
1137,237
1139,237
1140,238
1142,238
1143,239
1148,239
1149,240
1155,240
1156,241
1161,241
1162,242
1163,242
1164,243
1164,245
1163,246
1163,248
1162,249
1159,249
1158,250
1155,250
1154,251
1153,251
1152,252
1151,252
1150,253
1149,253
1148,254
1147,254
1144,257
1143,257
1139,261
1138,261
1134,265
1133,265
1132,266
1130,266
1129,267
1130,267
1131,268
1133,268
1135,270
1136,270
1137,271
1137,274
1136,275
1136,277
1135,278
1134,278
1131,281
1130,281
1129,282
1128,282
1124,286
1121,286
1120,287
1119,287
1119,288
1116,291
1115,291
1115,296
1118,299
1119,299
1120,300
1130,300
1131,301
1131,302
1135,306
1135,307
1137,309
1137,311
1138,312
1138,315
1139,316
1139,317
1143,321
1145,321
1146,322
1147,322
1148,323
1150,323
1151,324
1152,324
1153,325
1154,325
1156,327
1157,327
1158,328
1159,328
1161,330
1161,334
1160,335
1160,339
1161,340
1161,341
1162,342
1162,343
1165,346
1165,347
1166,348
1166,349
1167,349
1171,353
1171,355
1170,356
1170,357
1165,362
1163,362
1162,363
1160,363
1160,364
1161,365
1164,365
1165,366
1166,366
1169,369
1169,371
1170,372
1170,375
1171,376
1171,378
1173,380
1174,380
1175,381
1176,381
1177,382
1179,382
1180,383
1183,383
1184,384
1189,384
1190,385
1197,385
1198,386
1203,386
1204,387
1207,387
1210,390
1211,390
1213,392
1214,392
1215,393
1215,394
1217,396
1217,397
1221,401
1222,401
1223,402
1225,402
1226,403
1260,403
1261,402
1268,402
1269,401
1271,401
1272,400
1274,400
1275,399
1278,399
1279,398
1282,398
1283,397
1284,397
1285,396
1286,396
1287,395
1288,395
1289,394
1290,394
1291,393
1292,393
1293,392
1294,392
1295,391
1297,391
1298,390
1301,390
1302,389
1304,389
1305,388
1306,388
1309,385
1310,385
1311,384
1312,384
1313,383
1315,383
1316,382
1318,382
1319,381
1321,381
1322,380
1324,380
1325,379
1332,379
1333,378
1338,378
1339,377
1342,377
1343,376
1344,376
1345,375
1348,375
1349,374
1355,374
1356,373
1368,373
1369,372
1375,372
1376,373
1389,373
1390,374
1397,374
1398,375
1402,375
1403,376
1409,376
1410,377
1415,377
1416,378
1417,378
1418,379
1419,379
1420,380
1424,380
1425,381
1432,381
1433,382
1435,382
1437,384
1438,384
1439,385
1440,385
1441,386
1443,386
1444,387
1447,387
1448,388
1450,388
1451,389
1452,389
1455,392
1456,392
1457,393
1476,393
1477,394
1488,394
1489,395
1492,395
1493,396
1499,396
1500,397
1503,397
1504,398
1506,398
1507,399
1509,399
1510,400
1513,400
1514,401
1517,401
1518,402
1522,402
1523,403
1526,403
1527,404
1528,404
1529,405
1531,405
1532,406
1534,406
1535,407
1536,407
1537,408
1538,408
1539,409
1541,409
1542,410
1544,410
1545,411
1547,411
1548,412
1552,412
1553,413
1554,413
1555,414
1558,414
1559,415
1565,415
1566,416
1574,416
1575,417
1577,417
1578,418
1580,418
1581,419
1584,419
1585,420
1589,420
1590,421
1594,421
1595,422
1598,422
1599,423
1601,423
1602,424
1617,424
1618,425
1632,425
1633,426
1642,426
1643,427
1644,427
1645,428
1646,428
1647,429
1649,429
1650,430
1652,430
1653,431
1655,431
1656,432
1660,432
1661,433
1663,433
1664,434
1668,434
1669,435
1671,435
1672,434
1675,434
1676,435
1678,435
1679,436
1681,436
1682,437
1687,437
1688,436
1692,436
1693,435
1707,435
1708,434
1710,434
1711,433
1713,433
1714,432
1716,432
1717,431
1720,431
1721,430
1724,430
1725,429
1730,429
1731,428
1734,428
1735,427
1737,427
1738,426
1741,426
1742,425
1744,425
1745,424
1747,424
1748,423
1766,423
1767,422
1780,422
1781,423
1782,423
1783,424
1784,423
1787,423
1788,422
1789,422
1790,421
1791,421
1792,420
1793,420
1794,419
1800,419
1801,418
1802,419
1806,419
1807,420
1808,420
1809,421
1810,421
1811,422
1814,422
1815,423
1816,423
1817,424
1818,424
1819,425
1820,425
1821,426
1823,426
1824,427
1826,427
1827,428
1829,428
1830,429
1833,429
1834,430
1837,430
1838,431
1839,431
1840,432
1842,432
1844,434
1845,434
1846,435
1847,435
1848,436
1849,436
1850,437
1851,437
1852,438
1854,438
1855,439
1856,439
1857,440
1858,440
1859,441
1859,442
1864,447
1865,447
1870,452
1871,452
1872,453
1874,453
1876,455
1876,460
1880,460
1881,461
1883,461
1884,462
1885,462
1886,463
1887,463
1889,465
1890,465
1891,466
1892,466
1893,467
1895,467
1896,468
1898,468
1899,469
1901,469
1902,470
1904,470
1905,471
1908,471
1909,472
1911,472
1912,473
1914,473
1915,474
1916,474
1918,476
1919,476
1920,477
1921,477
1922,478
1926,478
1927,477
1930,477
1932,479
1931,480
1931,482
1930,483
1930,484
1929,485
1929,486
1927,488
1927,490
1926,491
1926,492
1925,493
1925,494
1924,495
1924,496
1922,498
1922,500
1923,501
1923,504
1922,505
1922,506
1921,507
1921,508
